0.0548329,0,0.867424,260.227,
0.113207,7.44286,1.08285,260.616,
0.173126,-10.9982,2.28129,260.176,
0.229996,-51.782,3.14147,258.103,
0.288257,-13.6483,4.03978,257.564,
0.340327,4.40407,5.1755,257.727,
0.395339,-94.2137,6.19326,254.352,
0.450299,-22.672,6.83811,253.513,
0.508343,-74.5463,7.26279,250.577,
0.567361,-61.0833,8.17263,248.198,
0.624972,-37.6926,8.98026,246.728,
0.683719,-102.993,9.82244,242.725,
0.740739,-50.7495,10.1233,240.646,
0.79952,-87.1583,11.7946,237.362,
0.857829,-62.7168,11.9154,234.858,
0.916916,-99.4298,12.9603,230.978,
0.974777,-68.2425,13.0469,228.169,
1.03216,-100.966,15.3423,224.454,
1.09134,-94.5855,14.8162,220.662,
1.15311,-114.084,15.1789,215.974,
1.21202,-74.6243,15.9221,212.915,
1.26884,-116.817,17.6834,208.427,
1.32999,-73.2317,17.013,205.379,
1.38751,-120.45,18.748,200.663,
1.44449,-155.348,19.5164,194.619,
1.50655,-56.2215,20.6614,192.486,
1.5662,-77.6421,19.123,189.196,
1.62557,-124.192,19.9927,184.002,
1.68428,-109.568,21.7311,179.668,
1.74335,-96.0971,22.2219,175.849,
1.8065,-75.1487,22.9528,172.883,
1.86578,-102.56,21.6861,168.486,
1.92952,-112.947,22.9144,163.79,
1.98966,-120.657,23.799,158.851,
2.05637,-97.1213,23.0045,154.644,
2.12132,-109.077,22.5535,149.715,
2.18796,-129.096,24.5545,144.25,
2.2512,-115.194,23.1562,138.973,
2.31287,-53.8348,25.6943,136.711,
2.38031,-117.687,26.4833,131.831,
2.44461,-104.716,23.6827,126.887,
2.50411,-139.452,27.1541,121.059,
2.57038,-135.897,27.6387,115.4,
2.63061,-43.9939,27.9754,113.565,
2.69395,-89.259,28.3457,109.843,
2.76144,-70.4089,27.4719,106.774,
2.82666,-105.645,27.2656,102.076,
2.89455,-114.317,26.5936,96.7991,
2.96259,-92.555,26.3163,92.4307,
3.02505,-53.4454,29.1188,90.1273,
3.09269,-83.8421,29.4468,86.5186,
3.15942,-87.6384,27.959,82.5064,
3.22497,-94.4153,27.7263,78.1063,
3.29615,-58.5499,31.6313,75.6953,
3.35868,-104.026,26.6967,70.5747,
3.4249,-32.5789,30.1258,69.1426,
3.4975,-99.1562,30.0706,64.7444,
3.56162,-52.4319,27.6376,62.1949,
3.63104,-50.3224,30.4172,59.9568,
3.69996,-95.2628,29.3437,55.5372,
3.76996,-55.7751,28.2695,52.8344,
3.84939,-55.448,32.1168,50.4569,
3.91689,-62.7619,26.4518,47.1698,
3.98783,-39.6187,27.5831,45.1691,
4.05559,-116.65,30.3469,39.7912,
4.12123,-32.8695,29.8229,38.2426,
4.19365,-51.2896,33.2399,36.0666,
4.26552,-35.6889,28.0224,34.2633,
4.33509,-90.6648,30.4676,30.0358,
4.39699,-43.6408,31.0736,28.0347,
4.46164,7.74176,33.4937,28.3649,
4.53382,-93.5126,29.0118,23.7465,
4.59982,-18.1332,32.1874,22.9374,
